Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,15.4,"New York City, NY"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,19.2,"Las Vegas (Clark County), NV"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,20.4,"San Antonio, TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Boston, MA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Fort Worth (Tarrant County), TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Fort Worth (Tarrant County), TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Hispanic,,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,0,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,0,"Seattle, WA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,5.3,"Las Vegas (Clark County), NV"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"Boston, MA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"Fort Worth (Tarrant County), TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"Fort Worth (Tarrant County), TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"San Antonio, TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,Other,,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,16.1,"Boston, MA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,16.1,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,18.8,"Seattle, WA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,18.9,"Las Vegas (Clark County), NV"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,20.4,"U.S. Total, U.S. Total"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,20.5,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,20.5,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,21,"Fort Worth (Tarrant County), TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,22.3,"New York City, NY"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,22.6,"Kansas City, MO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,27.3,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,27.8,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,White,30.1,"San Antonio, TX"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,10.2,"Minneapolis, MN"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,19.1,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,19.8,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,20.4,"Indianapolis (Marion County), IN"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,21.3,"Kansas City, MO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,23.8,"Philadelphia, PA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,24.5,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,25.7,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,All,32.5,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Asian/PI,11.9,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Asian/PI,13.3,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Asian/PI,29.1,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Asian/PI,,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Asian/PI,,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,23.1,"Kansas City, MO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,25.1,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,29.9,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,40.8,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,56.6,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Black,,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Hispanic,0,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Hispanic,15.6,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Hispanic,23.7,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Hispanic,,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Hispanic,,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Other,0,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Other,,"Oakland (Alameda County), CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Other,,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,Other,,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,19.3,"Portland (Multnomah County), OR"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,21,"Denver, CO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,21.5,"Kansas City, MO"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,21.5,"San Diego County, CA"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,27.5,"Columbus, OH"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Female,White,31.8,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,18.7,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,19.7,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,25.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,31.4,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,35,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,36.7,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,37.2,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,38.4,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,41.3,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,41.7,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,42.1,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,44.1,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,46.6,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,46.7,"Fort Worth (Tarrant County), TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,47.6,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,48.6,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,52.1,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,54.9,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,58,"Kansas City, MO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,58.2,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,64,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,0,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,33.1,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,316.9,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,15.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,17.1,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,19.6,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,24.8,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,25.6,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,27.1,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,27.4,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,27.7,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,27.8,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,28.1,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,33.2,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,37.6,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,46.1,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,20.5,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,35.4,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,39.2,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,41.9,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,45.2,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,46.7,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,47.5,"Fort Worth (Tarrant County), TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,48.9,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,49.4,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,52.6,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,54.5,"Kansas City, MO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,55.7,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,56.2,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,56.4,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,58,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,58.7,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,63.9,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,64.1,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,64.8,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,65.6,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,71.1,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,12.5,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,14.7,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,15.6,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,17,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,19.6,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,19.7,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,20.4,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,20.7,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,21.2,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,21.6,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,23.6,"Fort Worth (Tarrant County), TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,27.1,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,35.4,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,49.8,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Multiracial,0,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,0,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,0.3,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,24.6,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,25.9,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,13.8,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,23.7,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,35.3,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,35.9,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,39.3,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,39.8,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,41,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,43.9,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,46.8,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,46.8,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,47.6,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,49.1,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,50.8,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,51.3,"Fort Worth (Tarrant County), TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,51.4,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,51.5,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,54.3,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,54.9,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,57.9,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,62,"Kansas City, MO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,66.7,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,12.7,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,15.2,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,19.9,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,26.7,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,27.3,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,29.6,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,30.4,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,30.7,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,31.7,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,31.8,"Boston, MA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,31.8,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,38.1,"U.S. Total, U.S. Total"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,39.1,"Fort Worth (Tarrant County), TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,40,"Minneapolis, MN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,40.4,"Chicago, Il"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,40.8,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,46.3,"Philadelphia, PA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,48.6,"Indianapolis (Marion County), IN"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,52,"Kansas City, MO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,54.7,"Columbus, OH"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,23.3,"Los Angeles, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,23.8,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,29.7,"San Antonio, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,44.4,"San Diego County, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,44.5,"San Francisco, CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,46.6,"Miami (Miami-Dade County), FL"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,46.9,"Oakland (Alameda County), CA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,47.9,"Seattle, WA"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,50.2,"Washington, DC"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,53.5,"Las Vegas (Clark County), NV"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,55.5,"Denver, CO"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,56.2,"Houston, TX"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,57.5,"Fort Worth (Tarrant County), TX"
